AgentId;TimeStep;TotalAwardedPowerInMW;ElectricityPriceInEURperMWH;DispatchSystemCostInEUR
1;599184000;3739.3333333333335;34.86385;8943.711456906542
1;599187600;3735.5555555555557;34.86385;8724.844075768731
1;599191200;3632.333333333333;34.86385;8751.96025868721
1;599194800;3664.0;36.02501666666665;10880.400295412896
1;599198400;3635.1111111111113;34.86385;8918.532071776846
1;599202000;3705.5555555555557;34.86385;9047.334654694867
1;599205600;3959.1111111111113;36.02501666666665;11459.309170962646
1;599209200;4253.111111111111;36.02501666666665;10101.86400622383
1;599212800;4322.0;36.02501666666665;10630.330007689512
1;599216400;4411.444444444444;34.86385;9065.765950800684
1;599220000;4766.111111111111;36.02501666666665;11467.51917175838
1;599223600;4838.555555555556;34.86385;9068.00295658429
1;599227200;5044.555555555556;36.02501666666665;10233.165643287944
1;599230800;5479.111111111111;36.02501666666665;11179.260789239455
1;599234400;5476.555555555556;34.86385;8984.481699262878
1;599238000;5702.555555555556;36.02501666666665;9794.553744647703
1;599241600;5824.888888888889;34.86385;9044.190489004659
1;599245200;5896.333333333333;34.86385;8705.407027759627
1;599248800;6061.444444444444;36.02501666666665;9192.596524116449
1;599252400;6045.111111111111;36.02501666666665;10136.252118235901
1;599256000;6126.222222222223;36.02501666666665;10848.49221844582
1;599259600;5959.444444444444;34.86385;9069.608596409922
1;599263200;5977.555555555556;36.02501666666665;9928.848040107343
1;599266800;6055.222222222223;36.02501666666665;10858.74832603014
1;599270400;5603.888888888889;36.02501666666665;9901.498003970963
1;599274000;5428.888888888889;36.02501666666665;9265.6101647773
1;599277600;5324.555555555556;36.02501666666665;10000.641959456445
1;599281200;5311.666666666666;36.02501666666665;11348.769450538646
1;599284800;5480.555555555556;36.02501666666665;9190.397839551977
1;599288400;6041.777777777777;36.02501666666665;9343.10206681978
1;599292000;6196.0;36.02501666666665;10080.412730142234
1;599295600;6810.0;39.39829310344827;29126.348760227862
1;599299200;7996.0;46.49002;75009.81233142868
1;599302800;8176.0;46.49002;71019.72084417315
1;599306400;8138.0;47.74002;80780.84064543032
1;599310000;7846.0;46.49002;71354.8755000317
1;599313600;7832.0;46.49002;70954.23926504454
1;599317200;8168.0;46.49002;77035.70151857442
1;599320800;8299.0;46.49002;71874.09578413187
1;599324400;8462.0;46.49002;76907.60064186848
1;599328000;8541.0;50.151942307692295;101336.95828914683
1;599331600;8898.0;50.151942307692295;107883.4501852811
1;599335200;8953.0;50.151942307692295;110653.62656924583
1;599338800;8731.0;50.151942307692295;106696.88512616389
1;599342400;8478.0;50.151942307692295;98940.3905200285
1;599346000;7913.0;47.74002;80876.94215919427
1;599349600;7721.0;47.74002;80166.58656271263
1;599353200;7428.0;46.49002;71713.35880581118
1;599356800;6670.0;43.99002;47158.46139333157
1;599360400;6605.0;42.8696607142857;42437.85298229809
1;599364000;6537.0;42.8696607142857;38061.854353949224
1;599367600;6381.0;39.39829310344827;29278.483400386787
1;599371200;6340.0;39.39829310344827;30105.249894881694
1;599374800;6649.0;42.8696607142857;42383.015873766235
1;599378400;7877.0;46.49002;72815.63413343407
1;599382000;9436.0;50.24002;116907.13223380076
1;599385600;9792.0;50.24002;113987.68845229896
1;599389200;8768.0;50.24002;112994.05741790123
1;599392800;8780.0;50.151942307692295;111944.20843724556
1;599396400;9627.0;50.24002;114219.38914941154
1;599400000;10478.0;50.24002;115269.93758312466
1;599403600;11031.0;50.24002;113663.49608971135
1;599407200;9828.0;50.24002;114318.66297792149
1;599410800;9823.0;50.24002;116107.94813278747
1;599414400;9925.0;50.24002;119712.60333078241
1;599418000;10977.0;50.24002;119238.40834242875
1;599421600;9993.0;51.49002;126400.74956370021
1;599425200;9793.0;51.49002;125988.51258598907
1;599428800;9487.0;50.24002;119962.74002213017
1;599432400;8175.0;50.24002;112940.02086294579
1;599436000;8142.0;50.24002;118147.65999952768
1;599439600;7885.0;50.24002;112991.46039423373
1;599443200;7317.0;46.49002;71549.2424033196
1;599446800;7160.0;46.49002;78094.30874698854
1;599450400;7035.0;46.49002;73330.02949863445
1;599454000;6666.0;46.49002;70782.54839793581
1;599457600;6370.0;46.450018518518505;59091.47621838033
1;599461200;7041.0;46.49002;70476.36079209091
1;599464800;7597.0;50.151942307692295;105848.15031664327
1;599468400;8155.0;50.24002;115518.3371146219
1;599472000;8121.0;50.24002;114376.51036860154
1;599475600;8410.0;51.49002;126368.76432585479
1;599479200;8351.0;50.24002;113271.50014043589
1;599482800;8255.0;50.24002;116291.8805290446
1;599486400;8031.0;50.24002;116528.54564262032
1;599490000;7748.0;50.24002;115014.32086735588
1;599493600;7371.0;51.49002;125090.70172429242
1;599497200;7135.0;50.24002;112807.17274895322
1;599500800;7000.0;50.24002;114416.06164889611
1;599504400;7143.0;51.49002;129104.99836357025
1;599508000;7256.0;51.49002;122956.75093019064
1;599511600;6959.0;50.151942307692295;111895.38651761488
1;599515200;6665.0;48.99002;92129.94954111645
1;599518800;6512.0;46.49002;73538.237169318
1;599522400;5337.0;39.39829310344827;19897.861046076203
1;599526000;5308.0;36.02501666666665;12162.432272602044
1;599529600;5316.888888888889;36.02501666666665;11029.6858280294
1;599533200;5281.0;36.02501666666665;9598.3686168448
1;599536800;5291.888888888889;34.86385;8597.009928421858
1;599540400;5312.444444444444;36.02501666666665;11175.552663533166
1;599544000;5310.555555555556;34.86385;8899.163077433523
1;599547600;5308.111111111111;36.02501666666665;9561.90197359865
1;599551200;5951.0;42.8696607142857;37601.222739873854
1;599554800;6343.0;42.8696607142857;44539.790653042124
1;599558400;6564.0;43.99002;44816.37881389124
1;599562000;6922.0;45.24002;47717.165209378625
1;599565600;7070.0;45.24002;47586.26144005688
1;599569200;7276.0;45.24002;49321.085175586726
1;599572800;7215.0;45.24002;47973.71599439254
1;599576400;7130.0;43.99002;47198.160413270256
1;599580000;7076.0;43.99002;45830.83387555024
1;599583600;7122.0;45.24002;48725.7106401978
1;599587200;7101.0;43.99002;45390.570193475905
1;599590800;7431.0;43.99002;47044.05526765002
1;599594400;7365.0;43.99002;46970.57025288592
1;599598000;7134.0;43.99002;47339.724390319265
1;599601600;6561.0;43.99002;45796.53859483094
1;599605200;6182.0;46.450018518518505;62375.24023755257
1;599608800;6010.0;46.450018518518505;63000.17797809267
1;599612400;6223.0;46.450018518518505;67681.52986586567
1;599616000;5758.0;43.99002;45857.776035421164
1;599619600;5359.0;39.39829310344827;27879.339638597332
1;599623200;5076.0;36.02501666666665;15311.102328517036
1;599626800;4815.666666666667;36.02501666666665;9871.868872404992
1;599630400;5184.0;36.02501666666665;19075.147452773235
1;599634000;4838.222222222223;36.02501666666665;10356.191822838557
1;599637600;5288.777777777777;36.02501666666665;11178.971431167925
1;599641200;6050.0;42.8696607142857;33744.17677039318
1;599644800;6595.0;45.24002;49799.384873305564
