,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,1.0,1.0,0.179114,0.688236,1.0,1.0,0.8739899999999999,1.0,1.0,0.16633199999999998,0.00664,1.0,0.9030400000000001,0.026726,0.48405600000000004,1.0,0.190236,1.0,0.302452,0.763268,0.40055799999999997,1.0,0.41666,0.152388,0.5154299999999999,0.240534,0.5874739999999999,1.0,0.052456,0.037682,1.0,0.826348,1.0,1.0,0.759616,0.8590499999999999,0.930596,1.0,1.0,0.96529
1,1.0,1.0,0.145582,0.7347159999999999,1.0,1.0,0.8311620000000001,0.788832,1.0,0.18326399999999998,0.003984,1.0,0.990356,0.031208,0.5868099999999999,1.0,0.183762,1.0,0.300626,0.721768,0.42097599999999996,1.0,0.36553199999999997,0.144088,0.5312,0.28054,0.563902,1.0,0.071712,0.05577599999999999,1.0,0.8739899999999999,1.0,1.0,0.709982,0.86154,0.705002,1.0,1.0,1.0
2,0.929766,1.0,0.118358,0.8012819999999999,1.0,1.0,0.785844,0.5517839999999999,1.0,0.210654,0.00498,1.0,1.0,0.03154,0.701848,1.0,0.18625199999999997,1.0,0.343952,0.6907260000000001,0.46148,1.0,0.36984799999999995,0.14525,0.663336,0.288674,0.47874399999999995,1.0,0.09760799999999999,0.073704,1.0,0.8892619999999999,1.0,0.85988,0.7015159999999999,0.8957359999999999,0.583822,0.9540019999999999,1.0,1.0
3,0.8537379999999999,1.0,0.11205,0.826182,1.0,1.0,0.779038,0.415996,1.0,0.221278,0.009462,1.0,1.0,0.028053999999999996,0.7689119999999999,1.0,0.206172,1.0,0.423134,0.6973659999999999,0.5165919999999999,1.0,0.42662,0.159526,0.796136,0.32951,0.4337579999999999,1.0,0.125496,0.06988599999999999,1.0,0.9108419999999999,1.0,0.624658,0.7715679999999999,0.90636,0.434256,0.957156,1.0,1.0
4,0.762106,1.0,0.107236,0.8467659999999999,1.0,1.0,0.787006,0.28551999999999994,1.0,0.21513599999999997,0.017928,1.0,1.0,0.028385999999999998,0.748992,1.0,0.23804399999999998,1.0,0.5325279999999999,0.791488,0.52705,1.0,0.485882,0.188078,0.88478,0.375658,0.40454199999999996,1.0,0.14027,0.051128,0.98355,0.900052,1.0,0.43790799999999996,0.847928,0.8939099999999999,0.27788399999999996,0.973922,1.0,1.0
5,0.650056,1.0,0.08831199999999999,0.9156559999999999,1.0,1.0,0.7657579999999999,0.14060199999999998,1.0,0.21048799999999998,0.028883999999999996,1.0,1.0,0.035026,0.687738,1.0,0.27788399999999996,1.0,0.639432,0.8759819999999998,0.5180859999999999,1.0,0.547136,0.24285800000000002,0.9101779999999999,0.40155399999999997,0.393586,1.0,0.15189,0.031208,0.8716659999999999,0.848094,1.0,0.37765,0.9543339999999999,0.954832,0.151558,0.943378,1.0,1.0
6,0.547966,1.0,0.067064,0.9823879999999999,1.0,1.0,0.733554,0.053452,1.0,0.20185599999999998,0.0415,0.9047000000000001,1.0,0.04731,0.634784,1.0,0.322704,1.0,0.71795,0.831494,0.446872,1.0,0.5909599999999999,0.333826,0.9208019999999999,0.43923599999999996,0.422968,1.0,0.15620599999999998,0.01743,0.798958,0.7380359999999999,1.0,0.38595,1.0,1.0,0.058598,0.903372,1.0,1.0
7,0.464136,1.0,0.05727,1.0,1.0,1.0,0.7038399999999999,0.022077999999999997,1.0,0.182932,0.049468,0.8675159999999998,1.0,0.062582,0.615694,1.0,0.345944,1.0,0.7725639999999999,0.71131,0.427284,1.0,0.5941139999999999,0.465132,0.89889,0.477582,0.44039799999999996,1.0,0.159194,0.008133999999999999,0.732558,0.629638,1.0,0.40537199999999995,1.0,1.0,0.011951999999999999,0.8309960000000001,1.0,1.0
8,0.40321399999999996,1.0,0.05561,1.0,1.0,1.0,0.6620079999999999,0.02573,1.0,0.15603999999999998,0.05212399999999999,0.8432799999999999,1.0,0.08051,0.592122,1.0,0.358062,1.0,0.8082539999999999,0.6678179999999999,0.39425,1.0,0.5864779999999999,0.602414,0.913166,0.5298719999999999,0.43774199999999996,1.0,0.160024,0.0038179999999999998,0.652546,0.525058,1.0,0.508458,1.0,1.0,0.001826,0.8047679999999999,1.0,1.0
9,0.40005999999999997,1.0,0.05892999999999999,1.0,1.0,1.0,0.6283099999999999,0.076858,1.0,0.13080799999999998,0.044986,0.811574,1.0,0.09677799999999999,0.5214059999999999,1.0,0.35407799999999995,0.93873,0.9121699999999999,0.6009199999999999,0.407032,1.0,0.56523,0.7174519999999999,0.9330860000000001,0.581166,0.379144,1.0,0.15620599999999998,0.006307999999999999,0.560582,0.45484,1.0,0.6286419999999999,1.0,1.0,0.000498,0.7767139999999999,1.0,0.9239559999999999
10,0.43907,1.0,0.06972,1.0,1.0,1.0,0.60673,0.177288,1.0,0.10657199999999999,0.027721999999999997,0.7709039999999999,1.0,0.10059599999999999,0.43624799999999997,1.0,0.319218,0.810412,0.9842139999999999,0.519414,0.41765599999999997,1.0,0.53369,0.9204699999999999,0.9543339999999999,0.6379379999999999,0.28004199999999996,1.0,0.153218,0.012118,0.477582,0.38296199999999997,1.0,0.6608459999999999,1.0,1.0,0.004814,0.760778,1.0,0.9105099999999999
