AgentId;TimeStep;OfferedPowerInMW;AwardedPower
1001;599659199;258.72;
1001;599659201;;258.72
1001;599662799;258.72;
1001;599662801;;258.72
1001;599666399;258.72;
1001;599666401;;258.72
1001;599669999;258.72;
1001;599670001;;258.72
1001;599673599;258.72;
1001;599673601;;258.72
1001;599677199;258.72;
1001;599677201;;258.72
1001;599680799;258.72;
1001;599680801;;258.72
1001;599684399;258.72;
1001;599684401;;258.72
1001;599687999;258.72;
1001;599688001;;258.72
1001;599691599;258.72;
1001;599691601;;258.72
1001;599695199;258.72;
1001;599695201;;258.72
1001;599698799;258.72;
1001;599698801;;258.72
1001;599702399;258.72;
1001;599702401;;258.72
1001;599705999;258.72;
1001;599706001;;258.72
1001;599709599;258.72;
1001;599709601;;258.72
1001;599713199;258.72;
1001;599713201;;258.72
1001;599716799;258.72;
1001;599716801;;258.72
1001;599720399;258.72;
1001;599720401;;258.72
1001;599723999;258.72;
1001;599724001;;258.72
1001;599727599;258.72;
1001;599727601;;258.72
1001;599731199;258.72;
1001;599731201;;258.72
1001;599734799;258.72;
1001;599734801;;258.72
1001;599738399;258.72;
1001;599738401;;258.72
1001;599741999;258.72;
1001;599742001;;258.72
1001;599745599;258.72;
1001;599745601;;258.72
1001;599749199;258.72;
1001;599749201;;258.72
1001;599752799;258.72;
1001;599752801;;258.72
1001;599756399;258.72;
1001;599756401;;258.72
1001;599759999;258.72;
1001;599760001;;258.72
1001;599763599;258.72;
1001;599763601;;258.72
1001;599767199;258.72;
1001;599767201;;258.72
1001;599770799;258.72;
1001;599770801;;258.72
1001;599774399;258.72;
1001;599774401;;258.72
1001;599777999;258.72;
1001;599778001;;258.72
1001;599781599;258.72;
1001;599781601;;258.72
1001;599785199;258.72;
1001;599785201;;258.72
1001;599788799;258.72;
1001;599788801;;258.72
1001;599792399;258.72;
1001;599792401;;258.72
1001;599795999;258.72;
1001;599796001;;258.72
1001;599799599;258.72;
1001;599799601;;258.72
1001;599803199;258.72;
1001;599803201;;258.72
1001;599806799;258.72;
1001;599806801;;258.72
1001;599810399;258.72;
1001;599810401;;258.72
1001;599813999;258.72;
1001;599814001;;258.72
1001;599817599;258.72;
1001;599817601;;258.72
1001;599821199;258.72;
1001;599821201;;258.72
1001;599824799;258.72;
1001;599824801;;258.72
1001;599828399;258.72;
1001;599828401;;258.72
1001;599831999;258.72;
1001;599832001;;258.72
1001;599835599;258.72;
1001;599835601;;258.72
1001;599839199;258.72;
1001;599839201;;258.72
1001;599842799;258.72;
1001;599842801;;258.72
1001;599846399;258.72;
1001;599846401;;258.72
1001;599849999;258.72;
1001;599850001;;258.72
1001;599853599;258.72;
1001;599853601;;258.72
1001;599857199;258.72;
1001;599857201;;258.72
1001;599860799;258.72;
1001;599860801;;258.72
1001;599864399;258.72;
1001;599864401;;258.72
1001;599867999;258.72;
1001;599868001;;258.72
1001;599871599;258.72;
1001;599871601;;258.72
1001;599875199;258.72;
1001;599875201;;258.72
1001;599878799;258.72;
1001;599878801;;258.72
1001;599882399;258.72;
1001;599882401;;258.72
1001;599885999;258.72;
1001;599886001;;258.72
1001;599889599;258.72;
1001;599889601;;258.72
1001;599893199;258.72;
1001;599893201;;258.72
1001;599896799;258.72;
1001;599896801;;258.72
1001;599900399;258.72;
1001;599900401;;258.72
1001;599903999;258.72;
1001;599904001;;258.72
1001;599907599;258.72;
1001;599907601;;258.72
1001;599911199;258.72;
1001;599911201;;258.72
1001;599914799;258.72;
1001;599914801;;258.72
1001;599918399;258.72;
1001;599918401;;258.72
1001;599921999;258.72;
1001;599922001;;258.72
1001;599925599;258.72;
1001;599925601;;258.72
1001;599929199;258.72;
1001;599929201;;258.72
1001;599932799;258.72;
1001;599932801;;258.72
1001;599936399;258.72;
1001;599936401;;258.72
1001;599939999;258.72;
1001;599940001;;258.72
1001;599943599;258.72;
1001;599943601;;258.72
1001;599947199;258.72;
1001;599947201;;258.72
1001;599950799;258.72;
1001;599950801;;258.72
1001;599954399;258.72;
1001;599954401;;258.72
1001;599957999;258.72;
1001;599958001;;258.72
1001;599961599;258.72;
1001;599961601;;258.72
1001;599965199;258.72;
1001;599965201;;258.72
1001;599968799;258.72;
1001;599968801;;258.72
1001;599972399;258.72;
1001;599972401;;258.72
1001;599975999;258.72;
1001;599976001;;258.72
1001;599979599;258.72;
1001;599979601;;258.72
1001;599983199;258.72;
1001;599983201;;258.72
1001;599986799;258.72;
1001;599986801;;258.72
1001;599990399;258.72;
1001;599990401;;258.72
1001;599993999;258.72;
1001;599994001;;258.72
1001;599997599;258.72;
1001;599997601;;258.72
1001;600001199;258.72;
1001;600001201;;258.72
1001;600004799;258.72;
1001;600004801;;258.72
1001;600008399;258.72;
1001;600008401;;258.72
1001;600011999;258.72;
1001;600012001;;258.72
1001;600015599;258.72;
1001;600015601;;258.72
1001;600019199;258.72;
1001;600019201;;258.72
1001;600022799;258.72;
1001;600022801;;258.72
1001;600026399;258.72;
1001;600026401;;258.72
1001;600029999;258.72;
1001;600030001;;258.72
1001;600033599;258.72;
1001;600033601;;258.72
1001;600037199;258.72;
1001;600037201;;258.72
1001;600040799;258.72;
1001;600040801;;258.72
1001;600044399;258.72;
1001;600044401;;258.72
1001;600047999;258.72;
1001;600048001;;258.72
1001;600051599;258.72;
1001;600051601;;258.72
1001;600055199;258.72;
1001;600055201;;258.72
1001;600058799;258.72;
1001;600058801;;258.72
1001;600062399;258.72;
1001;600062401;;258.72
1001;600065999;258.72;
1001;600066001;;258.72
1001;600069599;258.72;
1001;600069601;;258.72
1001;600073199;258.72;
1001;600073201;;258.72
1001;600076799;258.72;
1001;600076801;;258.72
1001;600080399;258.72;
1001;600080401;;258.72
1001;600083999;258.72;
1001;600084001;;258.72
1001;600087599;258.72;
1001;600087601;;258.72
1001;600091199;258.72;
1001;600091201;;258.72
1001;600094799;258.72;
1001;600094801;;258.72
1001;600098399;258.72;
1001;600098401;;258.72
1001;600101999;258.72;
1001;600102001;;258.72
1001;600105599;258.72;
1001;600105601;;258.72
1001;600109199;258.72;
1001;600109201;;258.72
1001;600112799;258.72;
1001;600112801;;258.72
1001;600116399;258.72;
1001;600116401;;258.72
1001;600119999;258.72;
1001;600120001;;258.72
1001;600123599;258.72;
1001;600123601;;258.72
1001;600127199;258.72;
1001;600127201;;258.72
1001;600130799;258.72;
1001;600130801;;258.72
1001;600134399;258.72;
1001;600134401;;258.72
1001;600137999;258.72;
1001;600138001;;258.72
1001;600141599;258.72;
1001;600141601;;258.72
1001;600145199;258.72;
1001;600145201;;258.72
1001;600148799;258.72;
1001;600148801;;258.72
1001;600152399;258.72;
1001;600152401;;258.72
1001;600155999;258.72;
1001;600156001;;258.72
1001;600159599;258.72;
1001;600159601;;258.72
1001;600163199;258.72;
1001;600163201;;258.72
1001;600166799;258.72;
1001;600166801;;258.72
1001;600170399;258.72;
1001;600170401;;258.72
1001;600173999;258.72;
1001;600174001;;258.72
1001;600177599;258.72;
1001;600177601;;258.72
1001;600181199;258.72;
1001;600181201;;258.72
1001;600184799;258.72;
1001;600184801;;258.72
1001;600188399;258.72;
1001;600188401;;258.72
1001;600191999;258.72;
1001;600192001;;258.72
1001;600195599;258.72;
1001;600195601;;258.72
1001;600199199;258.72;
1001;600199201;;258.72
1001;600202799;258.72;
1001;600202801;;258.72
1001;600206399;258.72;
1001;600206401;;258.72
1001;600209999;258.72;
1001;600210001;;258.72
1001;600213599;258.72;
1001;600213601;;258.72
1001;600217199;258.72;
1001;600217201;;258.72
1001;600220799;258.72;
1001;600220801;;258.72
1001;600224399;258.72;
1001;600224401;;258.72
1001;600227999;258.72;
1001;600228001;;258.72
1001;600231599;258.72;
1001;600231601;;258.72
1001;600235199;258.72;
1001;600235201;;258.72
1001;600238799;258.72;
1001;600238801;;258.72
1001;600242399;258.72;
1001;600242401;;258.72
1001;600245999;258.72;
1001;600246001;;258.72
1001;600249599;258.72;
1001;600249601;;258.72
1001;600253199;258.72;
1001;600253201;;258.72
1001;600256799;258.72;
1001;600256801;;258.72
1001;600260399;258.72;
1001;600260401;;258.72
1001;600263999;258.72;
1001;600264001;;258.72
1001;600267599;258.72;
1001;600267601;;258.72
1001;600271199;258.72;
1001;600271201;;258.72
1001;600274799;258.72;
1001;600274801;;258.72
1001;600278399;258.72;
1001;600278401;;258.72
1001;600281999;258.72;
1001;600282001;;258.72
1001;600285599;258.72;
1001;600285601;;258.72
1001;600289199;258.72;
1001;600289201;;258.72
1001;600292799;258.72;
1001;600292801;;258.72
1001;600296399;258.72;
1001;600296401;;258.72
1001;600299999;258.72;
1001;600300001;;258.72
1001;600303599;258.72;
1001;600303601;;258.72
1001;600307199;258.72;
1001;600307201;;258.72
1001;600310799;258.72;
1001;600310801;;258.72
1001;600314399;258.72;
1001;600314401;;258.72
1001;600317999;258.72;
1001;600318001;;258.72
1001;600321599;258.72;
1001;600321601;;258.72
1001;600325199;258.72;
1001;600325201;;258.72
1001;600328799;258.72;
1001;600328801;;258.72
1001;600332399;258.72;
1001;600332401;;258.72
1001;600335999;258.72;
1001;600336001;;258.72
1001;600339599;258.72;
1001;600339601;;258.72
1001;600343199;258.72;
1001;600343201;;258.72
1001;600346799;258.72;
1001;600346801;;258.72
1001;600350399;258.72;
1001;600350401;;258.72
1001;600353999;258.72;
1001;600354001;;258.72
1001;600357599;258.72;
1001;600357601;;258.72
1001;600361199;258.72;
1001;600361201;;258.72
1001;600364799;258.72;
1001;600364801;;258.72
1001;600368399;258.72;
1001;600368401;;258.72
1001;600371999;258.72;
1001;600372001;;258.72
1001;600375599;258.72;
1001;600375601;;258.72
1001;600379199;258.72;
1001;600379201;;258.72
1001;600382799;258.72;
1001;600382801;;258.72
1001;600386399;258.72;
1001;600386401;;258.72
1001;600389999;258.72;
1001;600390001;;258.72
1001;600393599;258.72;
1001;600393601;;258.72
1001;600397199;258.72;
1001;600397201;;258.72
1001;600400799;258.72;
1001;600400801;;258.72
1001;600404399;258.72;
1001;600404401;;258.72
1001;600407999;258.72;
1001;600408001;;258.72
1001;600411599;258.72;
1001;600411601;;258.72
1001;600415199;258.72;
1001;600415201;;258.72
1001;600418799;258.72;
1001;600418801;;258.72
1001;600422399;258.72;
1001;600422401;;258.72
1001;600425999;258.72;
1001;600426001;;258.72
1001;600429599;258.72;
1001;600429601;;258.72
1001;600433199;258.72;
1001;600433201;;258.72
1001;600436799;258.72;
1001;600436801;;258.72
1001;600440399;258.72;
1001;600440401;;258.72
1001;600443999;258.72;
1001;600444001;;258.72
1001;600447599;258.72;
1001;600447601;;258.72
1001;600451199;258.72;
1001;600451201;;258.72
1001;600454799;258.72;
1001;600454801;;258.72
1001;600458399;258.72;
1001;600458401;;258.72
1001;600461999;258.72;
1001;600462001;;258.72
1001;600465599;258.72;
1001;600465601;;258.72
1001;600469199;258.72;
1001;600469201;;258.72
1001;600472799;258.72;
1001;600472801;;258.72
1001;600476399;258.72;
1001;600476401;;258.72
1001;600479999;258.72;
1001;600480001;;258.72
1001;600483599;258.72;
1001;600483601;;258.72
1001;600487199;258.72;
1001;600487201;;258.72
1001;600490799;258.72;
1001;600490801;;258.72
1001;600494399;258.72;
1001;600494401;;258.72
1001;600497999;258.72;
1001;600498001;;258.72
1001;600501599;258.72;
1001;600501601;;258.72
1001;600505199;258.72;
1001;600505201;;258.72
1001;600508799;258.72;
1001;600508801;;258.72
1001;600512399;258.72;
1001;600512401;;258.72
1001;600515999;258.72;
1001;600516001;;258.72
1001;600519599;258.72;
1001;600519601;;258.72
1001;600523199;258.72;
1001;600523201;;258.72
1001;600526799;258.72;
1001;600526801;;258.72
1001;600530399;258.72;
1001;600530401;;258.72
1001;600533999;258.72;
1001;600534001;;258.72
1001;600537599;258.72;
1001;600537601;;258.72
1001;600541199;258.72;
1001;600541201;;258.72
1001;600544799;258.72;
1001;600544801;;258.72
1001;600548399;258.72;
1001;600548401;;258.72
1001;600551999;258.72;
1001;600552001;;258.72
1001;600555599;258.72;
1001;600555601;;258.72
1001;600559199;258.72;
1001;600559201;;258.72
1001;600562799;258.72;
1001;600562801;;258.72
1001;600566399;258.72;
1001;600566401;;258.72
1001;600569999;258.72;
1001;600570001;;258.72
1001;600573599;258.72;
1001;600573601;;258.72
1001;600577199;258.72;
1001;600577201;;258.72
1001;600580799;258.72;
1001;600580801;;258.72
1001;600584399;258.72;
1001;600584401;;258.72
1001;600587999;258.72;
1001;600588001;;258.72
1001;600591599;258.72;
1001;600591601;;258.72
1001;600595199;258.72;
1001;600595201;;258.72
1001;600598799;258.72;
1001;600598801;;258.72
1001;600602399;258.72;
1001;600602401;;258.72
1001;600605999;258.72;
1001;600606001;;258.72
1001;600609599;258.72;
1001;600609601;;258.72
1001;600613199;258.72;
1001;600613201;;258.72
1001;600616799;258.72;
1001;600616801;;258.72
1001;600620399;258.72;
1001;600620401;;258.72
1001;600623999;258.72;
1001;600624001;;258.72
1001;600627599;258.72;
1001;600627601;;258.72
1001;600631199;258.72;
1001;600631201;;258.72
1001;600634799;258.72;
1001;600634801;;258.72
1001;600638399;258.72;
1001;600638401;;258.72
1001;600641999;258.72;
1001;600642001;;258.72
1001;600645599;258.72;
1001;600645601;;258.72
1001;600649199;258.72;
1001;600649201;;258.72
1001;600652799;258.72;
1001;600652801;;258.72
1001;600656399;258.72;
1001;600656401;;258.72
1001;600659999;258.72;
1001;600660001;;258.72
1001;600663599;258.72;
1001;600663601;;258.72
1001;600667199;258.72;
1001;600667201;;258.72
1001;600670799;258.72;
1001;600670801;;258.72
1001;600674399;258.72;
1001;600674401;;258.72
1001;600677999;258.72;
1001;600678001;;258.72
1001;600681599;258.72;
1001;600681601;;258.72
1001;600685199;258.72;
1001;600685201;;258.72
1001;600688799;258.72;
1001;600688801;;258.72
1001;600692399;258.72;
1001;600692401;;258.72
1001;600695999;258.72;
1001;600696001;;258.72
1001;600699599;258.72;
1001;600699601;;258.72
1001;600703199;258.72;
