AgentId;TimeStep;TotalAwardedPowerInMW;ElectricityPriceInEURperMWH;DispatchSystemCostInEUR
1;599184000;3286.0;-500.0;0.0
1;599187600;2980.0;-500.0;0.0
1;599191200;2499.0;-500.0;0.0
1;599194800;2304.0;-500.0;0.0
1;599198400;2124.0;-500.0;0.0
1;599202000;2270.0;0.0;0.0
1;599205600;2448.0;0.0;0.0
1;599209200;2742.0;0.0;0.0
1;599212800;2962.0;0.0;0.0
1;599216400;3127.0;0.0;0.0
1;599220000;3255.0;0.0;0.0
1;599223600;3403.0;0.0;0.0
1;599227200;3609.0;0.0;0.0
1;599230800;3968.0;0.0;0.0
1;599234400;4041.0;0.0;0.0
1;599238000;4267.0;0.0;0.0
1;599241600;4616.0;0.0;0.0
1;599245200;5443.0;0.0;0.0
1;599248800;5457.0;0.0;0.0
1;599252400;5214.0;0.0;0.0
1;599256000;5144.0;0.0;0.0
1;599259600;4675.0;0.0;0.0
1;599263200;4542.0;0.0;0.0
1;599266800;4393.0;0.0;0.0
1;599270400;4395.0;0.0;0.0
1;599274000;4220.0;0.0;0.0
1;599277600;5324.555555555556;0.0;0.0
1;599281200;6973.888888888889;0.0;0.0
1;599284800;7218.333333333333;0.0;0.0
1;599288400;8006.222222222223;0.0;0.0
1;599292000;8311.555555555555;0.0;0.0
1;599295600;8623.333333333334;0.0;0.0
1;599299200;8600.444444444445;0.0;0.0
1;599302800;8629.333333333334;0.0;0.0
1;599306400;8666.888888888889;0.0;0.0
1;599310000;8601.555555555555;0.0;0.0
1;599313600;8587.555555555555;0.0;0.0
1;599317200;8772.444444444445;0.0;0.0
1;599320800;8752.333333333334;0.0;0.0
1;599324400;8764.222222222223;0.0;0.0
1;599328000;8843.222222222223;0.0;0.0
1;599331600;9124.666666666666;0.0;0.0
1;599335200;9104.111111111111;0.0;0.0
1;599338800;8957.666666666666;0.0;0.0
1;599342400;8780.222222222223;0.0;0.0
1;599346000;8366.333333333334;0.0;0.0
1;599349600;8098.777777777777;0.0;0.0
1;599353200;7956.888888888889;0.0;0.0
