AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
100;599655601;;7123.0
100;599659199;7129.0;
100;599659201;;7129.0
100;599662799;6982.0;
100;599662801;;6982.0
100;599666399;6922.0;
100;599666401;;6922.0
100;599669999;6848.0;
100;599670001;;6848.0
100;599673599;6794.0;
100;599673601;;6794.0
100;599677199;7128.0;
100;599677201;;7128.0
100;599680799;7479.0;
100;599680801;;7479.0
100;599684399;7153.0;
100;599684401;;7153.0
100;599687999;6578.0;
100;599688001;;6578.0
100;599691599;6224.0;
100;599691601;;6224.0
100;599695199;6062.0;
100;599695201;;6062.0
100;599698799;5806.0;
100;599698801;;5806.0
100;599702399;5245.0;
100;599702401;;5245.0
100;599705999;4760.0;
100;599706001;;4760.0
100;599709599;4700.0;
100;599709601;;4700.0
100;599713199;4795.0;
100;599713201;;4795.0
100;599716799;5111.0;
100;599716801;;5111.0
100;599720399;5542.0;
100;599720401;;5542.0
100;599723999;6162.0;
100;599724001;;6162.0
100;599727599;8257.0;
100;599727601;;8257.0
100;599731199;9345.0;
100;599731201;;9345.0
100;599734799;9508.0;
100;599734801;;9508.0
100;599738399;9440.0;
100;599738401;;9440.0
100;599741999;9470.0;
100;599742001;;9470.0
100;599745599;8935.0;
100;599745601;;8935.0
100;599749199;8252.0;
100;599749201;;8252.0
100;599752799;6888.0;
100;599752801;;6888.0
100;599756399;7384.0;
100;599756401;;7384.0
100;599759999;7759.0;
100;599760001;;7759.0
100;599763599;8048.0;
100;599763601;;8048.0
100;599767199;7718.0;
100;599767201;;7718.0
100;599770799;7024.0;
100;599770801;;7024.0
100;599774399;6722.0;
100;599774401;;6722.0
100;599777999;6134.0;
100;599778001;;6134.0
100;599781599;5728.0;
100;599781601;;5728.0
100;599785199;4652.0;
100;599785201;;4652.0
100;599788799;4323.0;
100;599788801;;4323.0
100;599792399;3811.0;
100;599792401;;3811.0
100;599795999;3857.0;
100;599796001;;3857.0
100;599799599;3626.0;
100;599799601;;3626.0
100;599803199;3914.0;
100;599803201;;3914.0
100;599806799;4392.0;
100;599806801;;4392.0
100;599810399;5926.0;
100;599810401;;5926.0
100;599813999;7544.0;
100;599814001;;7544.0
100;599817599;8213.0;
100;599817601;;8213.0
100;599821199;8568.0;
100;599821201;;8568.0
100;599824799;8584.0;
100;599824801;;8584.0
100;599828399;8563.0;
100;599828401;;8563.0
100;599831999;8314.0;
100;599832001;;8314.0
100;599835599;8157.0;
100;599835601;;8157.0
100;599839199;8322.0;
100;599839201;;8322.0
100;599842799;8227.0;
100;599842801;;8227.0
100;599846399;8338.0;
100;599846401;;8338.0
100;599849999;8487.0;
100;599850001;;8487.0
100;599853599;8305.0;
100;599853601;;8305.0
100;599857199;7752.0;
100;599857201;;7752.0
100;599860799;7521.0;
100;599860801;;7521.0
100;599864399;7646.0;
100;599864401;;7646.0
100;599867999;7477.0;
100;599868001;;7477.0
100;599871599;6066.0;
100;599871601;;6066.0
100;599875199;5401.0;
100;599875201;;5401.0
100;599878799;5529.0;
100;599878801;;5529.0
100;599882399;5390.0;
100;599882401;;5390.0
100;599885999;5180.0;
100;599886001;;5180.0
100;599889599;5361.0;
100;599889601;;5361.0
100;599893199;5992.0;
100;599893201;;5992.0
100;599896799;7269.0;
100;599896801;;7269.0
100;599900399;8855.0;
100;599900401;;8855.0
100;599903999;8685.0;
100;599904001;;8685.0
100;599907599;8770.0;
100;599907601;;8770.0
100;599911199;8873.0;
100;599911201;;8873.0
100;599914799;8708.0;
100;599914801;;8708.0
100;599918399;9010.0;
100;599918401;;9010.0
100;599921999;8949.0;
100;599922001;;8949.0
100;599925599;8956.0;
100;599925601;;8956.0
100;599929199;8797.0;
100;599929201;;8797.0
100;599932799;8516.0;
100;599932801;;8516.0
100;599936399;8535.0;
100;599936401;;8535.0
100;599939999;8637.0;
100;599940001;;8637.0
100;599943599;7985.0;
100;599943601;;7985.0
100;599947199;7567.0;
100;599947201;;7567.0
100;599950799;7327.0;
100;599950801;;7327.0
100;599954399;7234.0;
100;599954401;;7234.0
100;599957999;6693.0;
100;599958001;;6693.0
100;599961599;6564.0;
100;599961601;;6564.0
100;599965199;6281.0;
100;599965201;;6281.0
100;599968799;6176.0;
100;599968801;;6176.0
100;599972399;5775.0;
100;599972401;;5775.0
100;599975999;5889.0;
100;599976001;;5889.0
100;599979599;6151.0;
100;599979601;;6151.0
100;599983199;7426.0;
100;599983201;;7426.0
100;599986799;10429.0;
100;599986801;;10429.0
100;599990399;11083.0;
100;599990401;;11083.0
100;599993999;11670.0;
100;599994001;;11670.0
100;599997599;11655.0;
100;599997601;;11655.0
100;600001199;11624.0;
100;600001201;;11624.0
100;600004799;11624.0;
100;600004801;;11624.0
100;600008399;11598.0;
100;600008401;;11598.0
100;600011999;11744.0;
100;600012001;;11744.0
100;600015599;11808.0;
100;600015601;;11808.0
100;600019199;11916.0;
100;600019201;;11916.0
100;600022799;12097.0;
100;600022801;;12097.0
100;600026399;12169.0;
100;600026401;;12169.0
100;600029999;11777.0;
100;600030001;;11777.0
100;600033599;10964.0;
100;600033601;;10964.0
100;600037199;9855.0;
100;600037201;;9855.0
100;600040799;8506.0;
100;600040801;;8506.0
100;600044399;8216.0;
100;600044401;;8216.0
100;600047999;7577.0;
100;600048001;;7577.0
100;600051599;7485.0;
100;600051601;;7485.0
100;600055199;7626.0;
100;600055201;;7626.0
100;600058799;7583.0;
100;600058801;;7583.0
100;600062399;7431.0;
100;600062401;;7431.0
100;600065999;7806.0;
100;600066001;;7806.0
100;600069599;8258.0;
100;600069601;;8258.0
100;600073199;8736.0;
100;600073201;;8736.0
100;600076799;8958.0;
100;600076801;;8958.0
100;600080399;9541.0;
100;600080401;;9541.0
100;600083999;9343.0;
100;600084001;;9343.0
100;600087599;8605.0;
100;600087601;;8605.0
100;600091199;8499.0;
100;600091201;;8499.0
100;600094799;8513.0;
100;600094801;;8513.0
100;600098399;8121.0;
100;600098401;;8121.0
100;600101999;8497.0;
100;600102001;;8497.0
100;600105599;8164.0;
100;600105601;;8164.0
100;600109199;8537.0;
100;600109201;;8537.0
100;600112799;8145.0;
100;600112801;;8145.0
100;600116399;7890.0;
100;600116401;;7890.0
100;600119999;7496.0;
100;600120001;;7496.0
100;600123599;7238.0;
100;600123601;;7238.0
100;600127199;7195.0;
100;600127201;;7195.0
100;600130799;6081.0;
100;600130801;;6081.0
100;600134399;6698.0;
100;600134401;;6698.0
100;600137999;6708.0;
100;600138001;;6708.0
100;600141599;6025.0;
100;600141601;;6025.0
100;600145199;6455.0;
100;600145201;;6455.0
100;600148799;6193.0;
100;600148801;;6193.0
100;600152399;5992.0;
100;600152401;;5992.0
100;600155999;6182.0;
100;600156001;;6182.0
100;600159599;6710.0;
100;600159601;;6710.0
100;600163199;6917.0;
100;600163201;;6917.0
100;600166799;7918.0;
100;600166801;;7918.0
100;600170399;8028.0;
100;600170401;;8028.0
100;600173999;7891.0;
100;600174001;;7891.0
100;600177599;7607.0;
100;600177601;;7607.0
100;600181199;6516.0;
100;600181201;;6516.0
100;600184799;6691.0;
100;600184801;;6691.0
100;600188399;7045.0;
100;600188401;;7045.0
100;600191999;7422.0;
100;600192001;;7422.0
100;600195599;7598.0;
100;600195601;;7598.0
100;600199199;7578.0;
100;600199201;;7578.0
100;600202799;6455.0;
100;600202801;;6455.0
100;600206399;5302.0;
100;600206401;;5302.0
100;600209999;6099.0;
100;600210001;;6099.0
100;600213599;4870.0;
100;600213601;;4870.0
100;600217199;4702.0;
100;600217201;;4702.0
100;600220799;4748.0;
100;600220801;;4748.0
100;600224399;4909.0;
100;600224401;;4909.0
100;600227999;4965.0;
100;600228001;;4965.0
100;600231599;4707.0;
100;600231601;;4707.0
100;600235199;4226.0;
100;600235201;;4226.0
100;600238799;4506.0;
100;600238801;;4506.0
100;600242399;4531.0;
100;600242401;;4531.0
100;600245999;4853.0;
100;600246001;;4853.0
100;600249599;5321.0;
100;600249601;;5321.0
100;600253199;5488.0;
100;600253201;;5488.0
100;600256799;5683.0;
