AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedSupportInEUR;RefundedSupportInEUR;ReceivedMarketRevenues
13;599183999;244.99999866000002;;;;;
13;599184001;;244.99999866000002;0.0;;;
13;599187599;188.000000545;;;;;
13;599187601;;188.000000545;0.0;;;
13;599191199;139.00000142;;;;;
13;599191201;;139.00000142;0.0;;;
13;599194799;115.000001415;;;;;
13;599194801;;115.000001415;0.0;;;
13;599198399;163.000001425;;;;;
13;599198401;;163.000001425;0.0;;;
13;599201999;284.99999968000003;;;;;
13;599202001;;284.99999968000003;0.0;;;
13;599205599;449.999999335;;;;;
13;599205601;;449.999999335;0.0;;;
13;599209199;602.0000015249999;;;;;
13;599209201;;602.0000015249999;0.0;;;
13;599212799;662.000000547;;;;;
13;599212801;;662.000000547;0.0;;;
13;599216399;733.999999774;;;;;
13;599216401;;733.999999774;0.0;;;
13;599219999;1008.999998944;;;;;
13;599220001;;1008.999998944;0.0;;;
13;599223599;1107.999999744;;;;;
13;599223601;;1107.999999744;0.0;;;
13;599227199;1269.999999552;;;;;
13;599227201;;1269.999999552;0.0;;;
13;599230799;1791.0000008389998;;;;;
13;599230801;;1791.0000008389998;0.0;;;
13;599234399;1919.9999983;;;;;
13;599234401;;1919.9999983;0.0;;;
13;599237999;2113.999998146;;;;;
13;599238001;;2113.999998146;0.0;;;
13;599241599;2226.000000501;;;;;
13;599241601;;2226.000000501;0.0;;;
13;599245199;2220.9999987210003;;;;;
13;599245201;;2220.9999987210003;0.0;;;
13;599248799;2287.000001011;;;;;
13;599248801;;2287.000001011;0.0;;;
13;599252399;2375.00000138;;;;;
13;599252401;;2375.00000138;0.0;;;
13;599255999;2681.9999998000003;;;;;
13;599256001;;2681.9999998000003;0.0;;;
13;599259599;2506.000000775;;;;;
13;599259601;;2506.000000775;0.0;;;
13;599263199;2647.99999954;;;;;
13;599263201;;2647.99999954;0.0;;;
13;599266799;2709.000000185;;;;;
13;599266801;;2709.000000185;0.0;;;
13;599270399;2640.00000055;;;;;
13;599270401;;2640.00000055;0.0;;;
13;599273999;2586.9999988950003;;;;;
13;599274001;;2586.9999988950003;0.0;;;
13;599277599;2493.999999255;;;;;
13;599277601;;2493.999999255;0.0;;;
13;599281199;2410.99999987;;;;;
13;599281201;;2410.99999987;0.0;;;
13;599284799;2562.99999889;;;;;
13;599284801;;2562.99999889;0.0;;;
13;599288399;2891.999999085;;;;;
13;599288401;;2891.999999085;0.0;;;
13;599291999;2863.00000047;;;;;
13;599292001;;2863.00000047;0.0;;;
13;599295599;2770.000000965;;;;;
13;599295601;;2770.000000965;0.0;;;
13;599299199;2746.9999996779998;;;;;
13;599299201;;2746.9999996779998;0.0;;;
13;599302799;2908.9999993520005;;;;;
13;599302801;;2908.9999993520005;0.0;;;
13;599306399;2993.0000002340003;;;;;
13;599306401;;2993.0000002340003;0.0;;;
13;599309999;2980.0000002619995;;;;;
13;599310001;;2980.0000002619995;0.0;;;
13;599313599;2925.000000384;;;;;
13;599313601;;2925.000000384;0.0;;;
13;599317199;3089.000000526;;;;;
13;599317201;;3089.000000526;0.0;;;
13;599320799;3074.000000074;;;;;
13;599320801;;3074.000000074;0.0;;;
13;599324399;2959.9999990809997;;;;;
13;599324401;;2959.9999990809997;0.0;;;
13;599327999;2825.000001511;;;;;
13;599328001;;2825.000001511;0.0;;;
13;599331599;2658.000000456;;;;;
13;599331601;;2658.000000456;0.0;;;
13;599335199;2645.999998936;;;;;
13;599335201;;2645.999998936;0.0;;;
13;599338799;2668.999999165;;;;;
13;599338801;;2668.999999165;0.0;;;
13;599342399;2740.99999918;;;;;
13;599342401;;2740.99999918;0.0;;;
