AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
5;946555199;16514.6634;
5;946555204;;0.0
5;946558799;16664.5144;
5;946558804;;0.0
5;946562399;16649.8004;
5;946562404;;0.0
5;946565999;16495.8389;
5;946566004;;0.0
5;946569599;16126.9095;
5;946569604;;0.0
5;946573199;15826.9473;
5;946573204;;0.0
5;946576799;15632.7706;
5;946576804;;0.0
5;946580399;15447.5245;
5;946580404;;0.0
5;946583999;14755.8102;
5;946584004;;0.0
5;946587599;13632.7065;
5;946587604;;0.0
5;946591199;12197.708;
5;946591204;;0.0
5;946594799;10934.8494;
5;946594804;;0.0
5;946598399;9907.3448;
5;946598404;;0.0
5;946601999;9459.8809;
5;946602004;;0.0
5;946605599;9344.7602;
5;946605604;;0.0
5;946609199;9389.2483;
5;946609204;;0.0
5;946612799;9599.4224;
5;946612804;;0.0
5;946616399;10196.7642;
5;946616404;;0.0
5;946619999;11442.7763;
5;946620004;;0.0
5;946623599;14070.2151;
5;946623604;;0.0
5;946627199;16592.0925;
5;946627204;;0.0
5;946630799;16972.7191;
5;946630804;;0.0
5;946634399;17055.4521;
5;946634404;;0.0
5;946637999;17075.0401;
5;946638004;;0.0
5;946641599;16669.4526;
5;946641604;;0.0
5;946645199;16858.1677;
5;946645204;;0.0
5;946648799;16967.3133;
5;946648804;;0.0
5;946652399;16780.0983;
5;946652404;;0.0
5;946655999;16453.4678;
5;946656004;;0.0
5;946659599;16182.2666;
5;946659604;;0.0
5;946663199;15949.9533;
5;946663204;;0.0
5;946666799;15602.9861;
5;946666804;;0.0
5;946670399;14717.6642;
5;946670404;;0.0
5;946673999;13644.5931;
5;946674004;;0.0
5;946677599;12490.7173;
5;946677604;;0.0
5;946681199;11367.7974;
5;946681204;;0.0
5;946684799;10294.413;
5;946684804;;0.0
5;946688399;9877.9389;
5;946688404;;0.0
5;946691999;9785.7963;
5;946692004;;0.0
5;946695599;9869.3533;
5;946695604;;0.0
5;946699199;10076.4539;
5;946699204;;0.0
5;946702799;10635.6143;
5;946702804;;0.0
5;946706399;12039.5404;
5;946706404;;0.0
5;946709999;14650.3656;
5;946710004;;0.0
5;946713599;17064.27;
5;946713604;;0.0
5;946717199;17542.5901;
5;946717204;;0.0
5;946720799;17517.7241;
5;946720804;;0.0
5;946724399;17569.3385;
5;946724404;;0.0
5;946727999;17185.8815;
5;946728004;;0.0
5;946731599;17332.1824;
5;946731604;;0.0
5;946735199;17469.38;
5;946735204;;0.0
5;946738799;17276.5149;
5;946738804;;0.0
5;946742399;16929.522;
5;946742404;;0.0
5;946745999;16641.5953;
5;946746004;;0.0
5;946749599;16289.9134;
5;946749604;;0.0
5;946753199;15983.5824;
5;946753204;;0.0
5;946756799;15145.3871;
5;946756804;;0.0
5;946760399;13987.7262;
5;946760404;;0.0
5;946763999;12678.2116;
5;946764004;;0.0
5;946767599;11511.3054;
5;946767604;;0.0
5;946771199;10460.7664;
5;946771204;;0.0
5;946774799;10006.6319;
5;946774804;;0.0
5;946778399;9882.4195;
5;946778404;;0.0
5;946781999;9934.4516;
5;946782004;;0.0
5;946785599;10090.3679;
5;946785604;;0.0
5;946789199;10624.9471;
5;946789204;;0.0
5;946792799;11906.63;
5;946792804;;0.0
5;946796399;14437.9637;
5;946796404;;0.0
5;946799999;16871.4863;
5;946800004;;0.0
5;946803599;17375.5431;
5;946803604;;0.0
5;946807199;17314.6259;
5;946807204;;0.0
5;946810799;17355.7206;
5;946810804;;0.0
5;946814399;16898.7746;
5;946814404;;0.0
5;946817999;16856.5622;
5;946818004;;0.0
5;946821599;16772.7134;
5;946821604;;0.0
5;946825199;16322.2897;
5;946825204;;0.0
5;946828799;16107.0427;
5;946828804;;0.0
5;946832399;16229.0619;
5;946832404;;0.0
5;946835999;15937.8938;
5;946836004;;0.0
5;946839599;15570.8681;
5;946839604;;0.0
5;946843199;14825.4566;
5;946843204;;0.0
5;946846799;13677.317;
5;946846804;;0.0
5;946850399;12733.1199;
5;946850404;;0.0
5;946853999;11669.5711;
5;946854004;;0.0
5;946857599;10483.5507;
5;946857604;;0.0
5;946861199;9978.1358;
5;946861204;;0.0
5;946864799;9804.599;
5;946864804;;0.0
