AgentId;TimeStep;OfferedPowerInMW;OfferedChargePriceInEURperMWH;OfferedDischargePriceInEURperMWH;AwardedChargePowerInMWH;AwardedDischargePowerInMWH;AwardedPowerInMWH;ReceivedMoneyInEUR;CostsInEUR
99992600009;946079999;0.0;0.0;0.0;;;;;
99992600009;946080004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946083599;0.0;0.0;0.0;;;;;
99992600009;946083604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946087199;0.0;0.0;0.0;;;;;
99992600009;946087204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946090799;0.0;0.0;0.0;;;;;
99992600009;946090804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946094399;0.0;0.0;0.0;;;;;
99992600009;946094404;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946097999;0.0;0.0;0.0;;;;;
99992600009;946098004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946101599;0.0;0.0;0.0;;;;;
99992600009;946101604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946105199;0.0;0.0;0.0;;;;;
99992600009;946105204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946108799;0.0;0.0;0.0;;;;;
99992600009;946108804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946112399;0.0;0.0;0.0;;;;;
99992600009;946112404;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946115999;0.0;0.0;0.0;;;;;
99992600009;946116004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946119599;0.0;0.0;0.0;;;;;
99992600009;946119604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946123199;0.0;0.0;0.0;;;;;
99992600009;946123204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946126799;0.0;0.0;0.0;;;;;
99992600009;946126804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946130399;0.0;0.0;0.0;;;;;
99992600009;946130404;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946133999;0.0;0.0;0.0;;;;;
99992600009;946134004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946137599;0.0;0.0;0.0;;;;;
99992600009;946137604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946141199;0.0;0.0;0.0;;;;;
99992600009;946141204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946144799;0.0;0.0;0.0;;;;;
99992600009;946144804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946148399;0.0;0.0;0.0;;;;;
99992600009;946148404;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946151999;0.0;0.0;0.0;;;;;
99992600009;946152004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946155599;0.0;0.0;0.0;;;;;
99992600009;946155604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946159199;0.0;0.0;0.0;;;;;
99992600009;946159204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946162799;0.0;0.0;0.0;;;;;
99992600009;946162804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946166399;0.0;0.0;0.0;;;;;
99992600009;946166404;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946169999;0.0;0.0;0.0;;;;;
99992600009;946170004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946173599;0.0;0.0;0.0;;;;;
99992600009;946173604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946177199;0.0;0.0;0.0;;;;;
99992600009;946177204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946180799;0.0;0.0;0.0;;;;;
99992600009;946180804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946184399;0.0;0.0;0.0;;;;;
99992600009;946184404;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946187999;0.0;0.0;0.0;;;;;
99992600009;946188004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946191599;0.0;0.0;0.0;;;;;
99992600009;946191604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946195199;0.0;0.0;0.0;;;;;
99992600009;946195204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946198799;0.0;0.0;0.0;;;;;
99992600009;946198804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946202399;0.0;0.0;0.0;;;;;
99992600009;946202404;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946205999;0.0;0.0;0.0;;;;;
99992600009;946206004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946209599;0.0;0.0;0.0;;;;;
99992600009;946209604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946213199;0.0;0.0;0.0;;;;;
99992600009;946213204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946216799;0.0;0.0;0.0;;;;;
99992600009;946216804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946220399;0.0;0.0;0.0;;;;;
99992600009;946220404;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946223999;0.0;0.0;0.0;;;;;
99992600009;946224004;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946227599;0.0;0.0;0.0;;;;;
99992600009;946227604;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946231199;0.0;0.0;0.0;;;;;
99992600009;946231204;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946234799;0.0;0.0;0.0;;;;;
99992600009;946234804;;;;0.0;0.0;0.0;0.0;0.0
99992600009;946238399;0.0;0.0;0.0;;;;;
