AgentId;TimeStep;OfferedPowerInMW;AwardedPower
201328000501;946079999;1560.0;
201328000501;946080004;;0.0
201328000501;946083599;1560.0;
201328000501;946083604;;0.0
201328000501;946087199;1560.0;
201328000501;946087204;;0.0
201328000501;946090799;1560.0;
201328000501;946090804;;0.0
201328000501;946094399;1560.0;
201328000501;946094404;;0.0
201328000501;946097999;1560.0;
201328000501;946098004;;0.0
201328000501;946101599;1560.0;
201328000501;946101604;;0.0
201328000501;946105199;1560.0;
201328000501;946105204;;762.3005062759985
201328000501;946108799;1560.0;
201328000501;946108804;;0.0
201328000501;946112399;1560.0;
201328000501;946112404;;0.0
201328000501;946115999;1560.0;
201328000501;946116004;;587.9562142460836
201328000501;946119599;1560.0;
201328000501;946119604;;722.9825343462035
201328000501;946123199;1560.0;
201328000501;946123204;;538.4117517212162
201328000501;946126799;1560.0;
201328000501;946126804;;1459.8962335073466
201328000501;946130399;1560.0;
201328000501;946130404;;1560.0
201328000501;946133999;1560.0;
201328000501;946134004;;1560.0
201328000501;946137599;1560.0;
201328000501;946137604;;1560.0
201328000501;946141199;1560.0;
201328000501;946141204;;1560.0
201328000501;946144799;1560.0;
201328000501;946144804;;1560.0
201328000501;946148399;1560.0;
201328000501;946148404;;1560.0
201328000501;946151999;1560.0;
201328000501;946152004;;1560.0
201328000501;946155599;1560.0;
201328000501;946155604;;1560.0
201328000501;946159199;1560.0;
201328000501;946159204;;1560.0
201328000501;946162799;1560.0;
201328000501;946162804;;1560.0
201328000501;946166399;1560.0;
201328000501;946166404;;1560.0
201328000501;946169999;1560.0;
201328000501;946170004;;1560.0
201328000501;946173599;1560.0;
201328000501;946173604;;1560.0
201328000501;946177199;1560.0;
201328000501;946177204;;1560.0
201328000501;946180799;1560.0;
201328000501;946180804;;1560.0
201328000501;946184399;1560.0;
201328000501;946184404;;1560.0
201328000501;946187999;1560.0;
201328000501;946188004;;1560.0
201328000501;946191599;1560.0;
201328000501;946191604;;1560.0
201328000501;946195199;1560.0;
201328000501;946195204;;1560.0
201328000501;946198799;1560.0;
201328000501;946198804;;1560.0
201328000501;946202399;1560.0;
201328000501;946202404;;1560.0
201328000501;946205999;1560.0;
201328000501;946206004;;1560.0
201328000501;946209599;1560.0;
201328000501;946209604;;1560.0
201328000501;946213199;1560.0;
201328000501;946213204;;1560.0
201328000501;946216799;1560.0;
201328000501;946216804;;1560.0
201328000501;946220399;1560.0;
201328000501;946220404;;1560.0
201328000501;946223999;1560.0;
201328000501;946224004;;1560.0
201328000501;946227599;1560.0;
201328000501;946227604;;1560.0
201328000501;946231199;1560.0;
201328000501;946231204;;1560.0
201328000501;946234799;1560.0;
201328000501;946234804;;1560.0
201328000501;946238399;1560.0;
201328000501;946238404;;1560.0
201328000501;946241999;1560.0;
201328000501;946242004;;1560.0
201328000501;946245599;1560.0;
201328000501;946245604;;1560.0
201328000501;946249199;1560.0;
201328000501;946249204;;1560.0
201328000501;946252799;1560.0;
201328000501;946252804;;1560.0
201328000501;946256399;1560.0;
201328000501;946256404;;1560.0
201328000501;946259999;1560.0;
201328000501;946260004;;1560.0
201328000501;946263599;1560.0;
201328000501;946263604;;1560.0
201328000501;946267199;1560.0;
201328000501;946267204;;1560.0
201328000501;946270799;1560.0;
201328000501;946270804;;1560.0
201328000501;946274399;1560.0;
201328000501;946274404;;1560.0
201328000501;946277999;1560.0;
201328000501;946278004;;1560.0
201328000501;946281599;1560.0;
201328000501;946281604;;1560.0
201328000501;946285199;1560.0;
201328000501;946285204;;1560.0
201328000501;946288799;1560.0;
201328000501;946288804;;1560.0
201328000501;946292399;1560.0;
201328000501;946292404;;1560.0
201328000501;946295999;1560.0;
201328000501;946296004;;1560.0
201328000501;946299599;1560.0;
201328000501;946299604;;1560.0
201328000501;946303199;1560.0;
201328000501;946303204;;1560.0
201328000501;946306799;1560.0;
201328000501;946306804;;1560.0
201328000501;946310399;1560.0;
201328000501;946310404;;1560.0
201328000501;946313999;1560.0;
201328000501;946314004;;1560.0
201328000501;946317599;1560.0;
201328000501;946317604;;1560.0
201328000501;946321199;1560.0;
201328000501;946321204;;1560.0
201328000501;946324799;1560.0;
201328000501;946324804;;1560.0
201328000501;946328399;1560.0;
201328000501;946328404;;1560.0
201328000501;946331999;1560.0;
201328000501;946332004;;1560.0
201328000501;946335599;1560.0;
201328000501;946335604;;1560.0
201328000501;946339199;1560.0;
201328000501;946339204;;1560.0
201328000501;946342799;1560.0;
201328000501;946342804;;1560.0
201328000501;946346399;1560.0;
201328000501;946346404;;1560.0
201328000501;946349999;1560.0;
201328000501;946350004;;1560.0
201328000501;946353599;1560.0;
201328000501;946353604;;1560.0
201328000501;946357199;1560.0;
201328000501;946357204;;1560.0
201328000501;946360799;1560.0;
201328000501;946360804;;1560.0
201328000501;946364399;1560.0;
201328000501;946364404;;1560.0
201328000501;946367999;1560.0;
201328000501;946368004;;1560.0
201328000501;946371599;1560.0;
201328000501;946371604;;1560.0
201328000501;946375199;1560.0;
201328000501;946375204;;1560.0
