AgentId;TimeStep;OfferedPowerInMW;OfferedChargePrice;OfferedDischargePrice;AwardedChargePower;AwardedDischargePower;AwardedPower;StoredMWh;Revenues;Costs;Profit
7;599183999;3060.0;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;599184001;;;;0.0;-3060.0;-3060.0;11600.0;-1530000.0;-0.0;-1530000.0
7;599187599;2937.6;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;599187601;;;;0.0;-2937.6;-2937.6;8336.0;-1468800.0;-0.0;-1468800.0
7;599191199;2448.0;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;599191201;;;;0.0;-2448.0;-2448.0;5616.0;-1224000.0;-0.0;-1224000.0
7;599194799;2264.4;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;599194801;;;;0.0;-2264.4;-2264.4;3100.0;-1132200.0;-0.0;-1132200.0
7;599198399;2080.8;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;599198401;;;;0.0;-2080.8;-2080.8;788.0;-1040400.0000000001;-0.0;-1040400.0000000001
7;599201999;734.4;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;599202001;;;;0.0;-734.4;-734.4;0.0;0.0;0.0;0.0
7;599205599;0.0;0.0;0.0;;;;;;;
7;599205601;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599209199;0.0;0.0;0.0;;;;;;;
7;599209201;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599212799;0.0;0.0;0.0;;;;;;;
7;599212801;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599216399;0.0;0.0;0.0;;;;;;;
7;599216401;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599219999;0.0;0.0;0.0;;;;;;;
7;599220001;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599223599;0.0;0.0;0.0;;;;;;;
7;599223601;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599227199;0.0;0.0;0.0;;;;;;;
7;599227201;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599230799;0.0;0.0;0.0;;;;;;;
7;599230801;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599234399;0.0;0.0;0.0;;;;;;;
7;599234401;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599237999;0.0;0.0;0.0;;;;;;;
7;599238001;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599241599;0.0;0.0;0.0;;;;;;;
7;599241601;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599245199;0.0;0.0;0.0;;;;;;;
7;599245201;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599248799;0.0;0.0;0.0;;;;;;;
7;599248801;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599252399;0.0;0.0;0.0;;;;;;;
7;599252401;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599255999;0.0;0.0;0.0;;;;;;;
7;599256001;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599259599;0.0;0.0;0.0;;;;;;;
7;599259601;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599263199;0.0;0.0;0.0;;;;;;;
7;599263201;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599266799;0.0;0.0;0.0;;;;;;;
7;599266801;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599270399;0.0;0.0;0.0;;;;;;;
7;599270401;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599273999;0.0;0.0;0.0;;;;;;;
7;599274001;;;;0.0;-0.0;0.0;0.0;0.0;0.0;0.0
7;599277599;-1435.5555555555554;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599277601;;;;1435.5555555555554;-0.0;1435.5555555555554;1292.0;0.0;0.0;0.0
7;599281199;-3248.8888888888887;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599281201;;;;3248.8888888888887;-0.0;3248.8888888888887;4216.0;0.0;0.0;0.0
7;599284799;-3173.333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599284801;;;;3173.333333333333;-0.0;3173.333333333333;7072.0;0.0;0.0;0.0
7;599288399;-3022.222222222222;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599288401;;;;3022.222222222222;-0.0;3022.222222222222;9792.0;0.0;0.0;0.0
7;599291999;-2795.5555555555557;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599292001;;;;2795.5555555555557;-0.0;2795.5555555555557;12308.0;0.0;0.0;0.0
7;599295599;-1813.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599295601;;;;1813.3333333333333;-0.0;1813.3333333333333;13940.0;0.0;0.0;0.0
7;599299199;-604.4444444444445;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599299201;;;;604.4444444444445;-0.0;604.4444444444445;14484.0;0.0;0.0;0.0
7;599302799;-453.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599302801;;;;453.3333333333333;-0.0;453.3333333333333;14892.0;0.0;0.0;0.0
7;599306399;-528.8888888888889;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599306401;;;;528.8888888888889;-0.0;528.8888888888889;15368.0;0.0;0.0;0.0
7;599309999;-755.5555555555555;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599310001;;;;755.5555555555555;-0.0;755.5555555555555;16048.0;0.0;0.0;0.0
7;599313599;-755.5555555555555;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599313601;;;;755.5555555555555;-0.0;755.5555555555555;16728.0;0.0;0.0;0.0
7;599317199;-604.4444444444445;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599317201;;;;604.4444444444445;-0.0;604.4444444444445;17272.0;0.0;0.0;0.0
7;599320799;-453.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599320801;;;;453.3333333333333;-0.0;453.3333333333333;17680.0;0.0;0.0;0.0
7;599324399;-302.22222222222223;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599324401;;;;302.22222222222223;-0.0;302.22222222222223;17952.0;0.0;0.0;0.0
7;599327999;-302.22222222222223;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599328001;;;;302.22222222222223;-0.0;302.22222222222223;18224.0;0.0;0.0;0.0
7;599331599;-226.66666666666666;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599331601;;;;226.66666666666666;-0.0;226.66666666666666;18428.0;0.0;0.0;0.0
7;599335199;-151.11111111111111;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599335201;;;;151.11111111111111;-0.0;151.11111111111111;18564.0;0.0;0.0;0.0
7;599338799;-226.66666666666666;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599338801;;;;226.66666666666666;-0.0;226.66666666666666;18768.0;0.0;0.0;0.0
7;599342399;-302.22222222222223;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599342401;;;;302.22222222222223;-0.0;302.22222222222223;19040.0;0.0;0.0;0.0
7;599345999;-453.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599346001;;;;453.3333333333333;-0.0;453.3333333333333;19448.0;0.0;0.0;0.0
7;599349599;-377.77777777777777;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599349601;;;;377.77777777777777;-0.0;377.77777777777777;19788.0;0.0;0.0;0.0
7;599353199;-528.8888888888889;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599353201;;;;528.8888888888889;-0.0;528.8888888888889;20264.0;0.0;0.0;0.0
7;599356799;-982.2222222222222;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;599356801;;;;982.2222222222222;-0.0;982.2222222222222;21148.0;0.0;0.0;0.0
7;599360399;-1133.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
